ano,DENV-1,DENV-2,DENV-4
2010,0.96,0.04,0.0
2011,0.8461538461538461,0.15384615384615385,0.0
2012,0.9230769230769231,0.07692307692307693,0.0
2013,0.8,0.0,0.2
2014,1.0,0.0,0.0
2015,0.9111111111111111,0.0,0.08888888888888889
2016,0.990521327014218,0.0,0.009478672985781991
2017,0.0,0.0,0.0
2018,0.8333333333333334,0.08333333333333333,0.08333333333333333
2019,0.46254071661237783,0.18023887079261672,0.3572204125950054
2020,0.040955631399317405,0.931740614334471,0.027303754266211604
